,form,goals_scored,goals_conceded,elo
Abkhazia,9.2,10.0,4.4,1500
Afghanistan,3.0,2.3,8.5,1033
Albania,9.5,6.0,3.6,1664
Alderney,2.1,3.9,14.6,1500
Algeria,11.1,8.2,1.9,1726
Ambazonia,0.83,1.67,6.67,1500
American Samoa,2.0,3.0,32.8,1500
Andalusia,9.8,8.3,4.9,1500
Andorra,1.3,1.5,9.3,1083
Angola,5.2,5.4,6.2,1566
Anguilla,2.5,3.3,13.7,646
Antigua and Barbuda,1.0,2.0,11.7,1500
Arameans Suryoye,5.8,5.0,3.8,1500
Argentina,11.9,8.3,1.5,2113
Armenia,3.3,4.6,14.5,1389
Artsakh,6.7,13.4,5.3,1500
Aruba,3.4,5.4,11.7,949
Asturias,0.0,0.0,0.0,1500
Australia,9.0,5.2,3.8,1774
Austria,11.6,11.2,2.1,1818
Aymara,0.0,0.5,1.5,1500
Azerbaijan,1.8,3.1,11.4,1339
Bahamas,2.2,6.6,20.7,719
Bahrain,2.9,3.2,7.4,1417
Bangladesh,5.9,5.4,5.9,940
Barawa,4.2,7.8,14.1,1500
Barbados,6.6,10.5,9.0,921
Basque Country,10.8,12.4,4.5,1500
Belarus,5.4,7.2,11.3,1496
Belgium,11.2,14.3,3.4,1849
Belize,7.7,7.3,10.3,1103
Benin,6.7,4.2,7.0,1436
Bermuda,4.9,8.4,14.7,1121
Bhutan,3.8,2.1,9.9,614
Biafra,1.0,0.33,0.67,1500
Bolivia,5.7,3.1,7.2,1675
Bonaire,3.6,4.3,9.4,822
Bosnia and Herzegovina,7.6,9.0,4.6,1500
Botswana,3.6,4.0,8.6,1319
Brazil,8.2,8.0,3.8,1979
British Virgin Islands,3.1,4.7,9.3,1500
Brittany,7.5,7.5,6.3,1500
Brunei,7.1,4.4,6.6,655
Bulgaria,3.2,5.9,14.0,1452
Burkina Faso,11.3,10.1,3.7,1500
Burundi,4.3,3.6,5.3,1238
Cambodia,4.6,7.2,9.6,846
Cameroon,8.5,5.8,3.1,1559
Canada,7.9,4.0,1.6,1802
Canary Islands,3.75,5.75,1.25,1500
Cape Verde,8.3,6.8,3.7,1500
Cascadia,4.86,7.57,5.29,1500
Catalonia,8.5,9.2,4.8,1500
Cayman Islands,4.5,3.4,11.0,1500
Central African Republic,2.9,2.7,11.3,1500
Central Spain,0.0,0.5,2.0,1500
Chad,1.6,2.3,10.0,1150
Chagos Islands,2.6,7.0,25.5,1500
Chameria,4.57,6.14,3.29,1500
Chechnya,0.33,0.67,10.0,1500
Chile,6.3,5.8,5.7,1731
China PR,5.1,4.1,8.1,1500
Cilento,0.0,0.0,0.0,1500
Colombia,9.5,9.7,3.8,1998
Comoros,4.7,6.7,8.1,1359
Congo,3.3,4.1,12.1,1261
Cook Islands,4.0,3.2,15.3,1500
Corsica,6.11,3.89,1.67,1500
Costa Rica,7.5,8.6,6.3,1500
County of Nice,7.44,6.67,3.78,1500
Crimea,3.6,2.0,4.8,1500
Croatia,11.0,10.3,2.9,1933
Cuba,4.4,5.3,10.4,1230
Curaçao,6.5,7.3,4.3,1467
Cyprus,4.5,7.3,8.6,1302
Czech Republic,8.5,7.7,4.1,1500
Czechoslovakia,6.6,9.3,6.0,1864
DR Congo,10.0,4.9,1.7,1500
Darfur,0.0,0.57,42.14,1500
Denmark,10.2,13.1,5.4,1864
Djibouti,1.7,2.8,13.3,752
Dominica,3.6,4.7,11.4,940
